id	 artist	 title	 date	 materials	 address	 description	 type	 url1	 url2	 loc_lat	, loc_long
ID_00102	 Geordie Duncan	 Totem Sun-Whale Eye	 2011	 <Null>	 Cnr Elizabeth & Federal St	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/b2465b05-9ec6-425d-a4d2-9f4b00efbe23/9138_1.jpg	 http://www.hobartcity.com.au/files/72158b3b-3358-40f0-b972-9f4b00efbe81/9138_2.jpg	 -42.871978022115	 147.3145497262581
ID_00103	 St Michael's Collegiate, Louise Bloomfield	 Catching your eye	 2012	 <Null>	 Cnr Macquarie & Molle Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/52e47c65-0a49-496a-b558-a08d00f20851/9140_collegiate-angle2_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/535245a0-5cf5-42be-ab83-a08d00f21be8/9140_collegiate-side-angle_w430_h620_Small.jpg	 -42.8884339103588	 147.3226191198606
ID_00104	 Leigh & Julian Oates	 Beneath	 2011	 <Null>	 Cnr Elizabeth & Davey Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/4df14eca-5a24-4028-aa23-9f4b00efbede/9148_1.jpg	 http://www.hobartcity.com.au/files/abcdeaa3-e0cd-4f2d-9f57-9f4b00efbf41/9148_2.jpg	 -42.88321300018543	 147.3315919345008
ID_00105	 Tom O'Hern	 Stump	 2012	 <Null>	 Cnr Brisbane & Harrington Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/1cc5e9c5-4654-4a97-88dd-a0b0010158b9/9149_Small.jpg	 http://www.hobartcity.com.au/files/e0bc1907-65b8-4963-b05b-a0b0010f6a73/9149_2Small.jpg	 -42.88168686742252	 147.3207044199662
ID_00106	 Hannah Cardamatis	 Hannah's	 2012	 <Null>	 Cnr Brisbane & Elizabeth Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/aff28380-475e-4645-a39e-a08d00f2507f/9151_dsc07234_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/ddd4ae48-32b1-4867-8b75-a08d00f23acc/9151_dsc07233_w430_h620_Small.jpg	 -42.87968220346027	 147.32330348452
ID_00107	 The Hutchins School Kindergarten, Kate Turner	 Childhood Wishes	 2012	 <Null>	 Cnr Sandy Bay & Gladstone Rds	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/58880437-527b-4927-ab48-a08d00f2626c/9168_dscn5250_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/149f33ba-3888-4287-96ef-a08d00f27344/9168_dscn5252_w430_h620_Small.jpg	 -42.88803881594107	 147.3299559800902
ID_00108	 Community Rehabilitation Unit Art Group, Julie Oh	 Live	 2012	 <Null>	 Cnr Barrack & Davey Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/8efb1e18-3628-4582-af34-a08d00f2a4a2/9175_view_3_Small.bmp	 http://www.hobartcity.com.au/files/8b402a76-86f8-40b3-98a7-a08d00f28641/9175_view_2_Small.bmp	 -42.88760820853123	 147.3254882302099
ID_00109	 Oak Tasmania, Aedan Howlett and RecLink	 Moving On	 2010	 <Null>	 Cnr Morrison and Murray Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/3e72b702-498a-4a00-8d1c-9f4b00efbf9f/9177_1.jpg	 http://www.hobartcity.com.au/files/5dc6246b-7b13-4bc1-8a5e-9f4b00efc001/9177_2.jpg	 -42.88518814833068	 147.3311617502565
ID_00110	 Students of Hilliard Christian School	 Summer Fun in Hobart	 2011	 <Null>	 Cnr Elizabeth & Morrison Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/d24670a9-1782-4e64-b36e-9f4b00efc063/9179_1.jpg	 http://www.hobartcity.com.au/files/2cf6c176-a07b-4421-9dcc-9f4b00efc0c1/9179_2.jpg	 -42.88344676229424	 147.3322753110601
ID_00111	 iriXx	 Mandala	 2012	 <Null>	 Cnr Davey St & Southern Outlet	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/29f07b1a-62d6-4480-8578-a0b001016976/9194_Small.bmp	 http://www.hobartcity.com.au/files/22fa48b7-783d-45dd-a03b-a0b0010f7cb0/9194_2Small.bmp	 -42.89300586606251	 147.3185260871967
